iter	Passed	Remaining
1203	11903	86961
1204	11913	86950
1205	11922	86937
1206	11931	86924
1207	11941	86911
1208	11951	86899
1209	11960	86884
1210	11969	86869
1211	11978	86852
1212	11987	86837
1213	11996	86821
1214	12005	86806
1215	12014	86792
1216	12024	86778
1217	12033	86760
1218	12043	86752
1219	12052	86739
1220	12063	86737
1221	12080	86781
1222	12093	86790
1223	12103	86781
1224	12113	86770
1225	12122	86759
1226	12132	86746
1227	12141	86728
1228	12150	86712
1229	12159	86699
1230	12168	86679
1231	12177	86668
1232	12187	86656
1233	12197	86644
1234	12206	86628
1235	12215	86613
1236	12224	86599
1237	12233	86582
1238	12243	86571
1239	12252	86558
1240	12262	86546
1241	12271	86533
1242	12281	86526
1243	12291	86515
1244	12300	86497
1245	12309	86485
1246	12319	86473
1247	12329	86461
1248	12338	86451
1249	12348	86442
1250	12358	86430
1251	12368	86419
1252	12377	86405
1253	12387	86394
1254	12396	86380
1255	12405	86365
1256	12414	86350
1257	12423	86332
1258	12432	86316
1259	12441	86300
1260	12450	86286
1261	12459	86271
1262	12469	86259
1263	12479	86247
1264	12488	86234
1265	12497	86221
1266	12507	86208
1267	12517	86203
1268	12528	86198
1269	12538	86191
1270	12549	86185
1271	12558	86175
1272	12569	86166
1273	12578	86156
1274	12588	86142
1275	12597	86128
1276	12606	86115
1277	12615	86098
1278	12625	86085
1279	12633	86067
1280	12643	86053
1281	12652	86039
1282	12661	86024
1283	12670	86007
1284	12679	85992
1285	12688	85977
1286	12697	85963
1287	12707	85950
1288	12716	85936
1289	12726	85927
1290	12740	85947
1291	12758	85994
1292	12777	86040
1293	12790	86052
1294	12799	86038
1295	12808	86019
1296	12817	86004
1297	12826	85990
1298	12835	85977
1299	12855	86034
1300	12864	86020
1301	12873	86004
1302	12883	85992
1303	12892	85976
1304	12901	85962
1305	12912	85955
1306	12921	85943
1307	12930	85928
1308	12941	85922
1309	12958	85964
1310	12976	86002
1311	12989	86017
1312	13007	86059
1313	13016	86046
1314	13026	86031
1315	13035	86018
1316	13044	86005
1317	13054	85990
1318	13062	85973
1319	13071	85956
1320	13080	85941
1321	13089	85924
1322	13098	85906
1323	13107	85892
1324	13117	85880
1325	13126	85869
1326	13136	85857
1327	13146	85846
1328	13157	85843
1329	13166	85832
1330	13177	85825
1331	13187	85819
1332	13197	85810
1333	13207	85800
1334	13217	85790
1335	13226	85775
1336	13235	85760
1337	13245	85748
1338	13254	85732
1339	13263	85719
1340	13272	85704
1341	13281	85689
1342	13291	85674
1343	13300	85662
1344	13309	85647
1345	13319	85636
1346	13328	85623
1347	13339	85619
1348	13348	85600
1349	13357	85586
1350	13370	85599
1351	13381	85593
1352	13392	85589
1353	13401	85576
1354	13411	85564
1355	13421	85554
1356	13430	85540
1357	13440	85531
1358	13450	85521
1359	13459	85505
1360	13468	85490
1361	13477	85475
1362	13486	85459
1363	13495	85442
1364	13504	85426
1365	13513	85413
1366	13522	85400
1367	13531	85382
1368	13540	85367
1369	13549	85352
1370	13558	85339
1371	13569	85330
1372	13578	85317
1373	13587	85303
1374	13598	85302
1375	13609	85295
1376	13619	85285
1377	13629	85278
1378	13638	85263
1379	13647	85250
1380	13656	85233
1381	13666	85221
1382	13675	85206
1383	13684	85191
1384	13693	85179
1385	13703	85164
1386	13712	85150
1387	13721	85137
1388	13730	85121
1389	13739	85106
1390	13748	85091
1391	13757	85077
1392	13767	85066
1393	13777	85054
1394	13786	85043
1395	13796	85030
1396	13809	85038
1397	13828	85088
1398	13852	85163
1399	13862	85155
1400	13873	85149
1401	13882	85135
1402	13891	85123
1403	13901	85110
1404	13910	85097
1405	13920	85088
1406	13930	85078
1407	13940	85067
1408	13950	85059
1409	13960	85050
1410	13971	85048
1411	13981	85037
1412	13992	85032
1413	14001	85021
1414	14012	85014
1415	14022	85005
1416	14032	84996
1417	14041	84982
1418	14051	84969
1419	14060	84955
1420	14070	84947
1421	14079	84935
1422	14089	84923
1423	14098	84908
1424	14108	84898
1425	14118	84889
1426	14128	84879
1427	14138	84868
1428	14147	84855
1429	14156	84841
1430	14165	84825
1431	14174	84811
1432	14183	84796
1433	14192	84781
1434	14202	84769
1435	14211	84755
1436	14220	84739
1437	14229	84725
1438	14238	84711
1439	14247	84695
1440	14257	84681
1441	14266	84668
1442	14275	84654
1443	14286	84649
1444	14297	84646
